,Generator,Time,Value,Zones
0,DISCOV_1_CHEVRN,1,0.0,PGE_valley
1,DISCOV_1_CHEVRN,2,0.0,PGE_valley
2,DISCOV_1_CHEVRN,3,0.0,PGE_valley
3,DISCOV_1_CHEVRN,4,0.0,PGE_valley
4,DISCOV_1_CHEVRN,5,0.0,PGE_valley
5,DISCOV_1_CHEVRN,6,0.0,PGE_valley
6,DISCOV_1_CHEVRN,7,0.0,PGE_valley
7,DISCOV_1_CHEVRN,8,0.0,PGE_valley
8,DISCOV_1_CHEVRN,9,0.0,PGE_valley
9,DISCOV_1_CHEVRN,10,0.0,PGE_valley
10,DISCOV_1_CHEVRN,11,0.0,PGE_valley
11,DISCOV_1_CHEVRN,12,0.0,PGE_valley
12,DISCOV_1_CHEVRN,13,0.0,PGE_valley
13,DISCOV_1_CHEVRN,14,0.0,PGE_valley
14,DISCOV_1_CHEVRN,15,0.0,PGE_valley
15,DISCOV_1_CHEVRN,16,0.0,PGE_valley
16,DISCOV_1_CHEVRN,17,0.0,PGE_valley
17,DISCOV_1_CHEVRN,18,0.0,PGE_valley
18,DISCOV_1_CHEVRN,19,0.0,PGE_valley
19,DISCOV_1_CHEVRN,20,0.0,PGE_valley
20,DISCOV_1_CHEVRN,21,0.0,PGE_valley
21,DISCOV_1_CHEVRN,22,0.0,PGE_valley
22,DISCOV_1_CHEVRN,23,0.0,PGE_valley
23,DISCOV_1_CHEVRN,24,0.0,PGE_valley
24,CHEVCD_6_UNIT,1,0.0,PGE_valley
25,CHEVCD_6_UNIT,2,0.0,PGE_valley
26,CHEVCD_6_UNIT,3,0.0,PGE_valley
27,CHEVCD_6_UNIT,4,0.0,PGE_valley
28,CHEVCD_6_UNIT,5,0.0,PGE_valley
29,CHEVCD_6_UNIT,6,0.0,PGE_valley
30,CHEVCD_6_UNIT,7,0.0,PGE_valley
31,CHEVCD_6_UNIT,8,0.0,PGE_valley
32,CHEVCD_6_UNIT,9,0.0,PGE_valley
33,CHEVCD_6_UNIT,10,0.0,PGE_valley
34,CHEVCD_6_UNIT,11,0.0,PGE_valley
35,CHEVCD_6_UNIT,12,0.0,PGE_valley
36,CHEVCD_6_UNIT,13,0.0,PGE_valley
37,CHEVCD_6_UNIT,14,0.0,PGE_valley
38,CHEVCD_6_UNIT,15,0.0,PGE_valley
39,CHEVCD_6_UNIT,16,0.0,PGE_valley
40,CHEVCD_6_UNIT,17,0.0,PGE_valley
41,CHEVCD_6_UNIT,18,0.0,PGE_valley
42,CHEVCD_6_UNIT,19,0.0,PGE_valley
43,CHEVCD_6_UNIT,20,0.0,PGE_valley
44,CHEVCD_6_UNIT,21,0.0,PGE_valley
45,CHEVCD_6_UNIT,22,0.0,PGE_valley
46,CHEVCD_6_UNIT,23,0.0,PGE_valley
47,CHEVCD_6_UNIT,24,0.0,PGE_valley
48,KINGCO_1_KINGBR,1,0.0,PGE_valley
49,KINGCO_1_KINGBR,2,0.0,PGE_valley
50,KINGCO_1_KINGBR,3,0.0,PGE_valley
51,KINGCO_1_KINGBR,4,0.0,PGE_valley
52,KINGCO_1_KINGBR,5,0.0,PGE_valley
53,KINGCO_1_KINGBR,6,0.0,PGE_valley
54,KINGCO_1_KINGBR,7,0.0,PGE_valley
55,KINGCO_1_KINGBR,8,0.0,PGE_valley
56,KINGCO_1_KINGBR,9,0.0,PGE_valley
57,KINGCO_1_KINGBR,10,0.0,PGE_valley
58,KINGCO_1_KINGBR,11,0.0,PGE_valley
59,KINGCO_1_KINGBR,12,0.0,PGE_valley
60,KINGCO_1_KINGBR,13,0.0,PGE_valley
61,KINGCO_1_KINGBR,14,0.0,PGE_valley
62,KINGCO_1_KINGBR,15,0.0,PGE_valley
63,KINGCO_1_KINGBR,16,0.0,PGE_valley
64,KINGCO_1_KINGBR,17,0.0,PGE_valley
65,KINGCO_1_KINGBR,18,0.0,PGE_valley
66,KINGCO_1_KINGBR,19,0.0,PGE_valley
67,KINGCO_1_KINGBR,20,0.0,PGE_valley
68,KINGCO_1_KINGBR,21,0.0,PGE_valley
69,KINGCO_1_KINGBR,22,0.0,PGE_valley
70,KINGCO_1_KINGBR,23,0.0,PGE_valley
71,KINGCO_1_KINGBR,24,0.0,PGE_valley
72,MALAGA_1_PL1X2,1,0.0,PGE_valley
73,MALAGA_1_PL1X2,2,0.0,PGE_valley
74,MALAGA_1_PL1X2,3,0.0,PGE_valley
75,MALAGA_1_PL1X2,4,0.0,PGE_valley
76,MALAGA_1_PL1X2,5,0.0,PGE_valley
77,MALAGA_1_PL1X2,6,0.0,PGE_valley
78,MALAGA_1_PL1X2,7,0.0,PGE_valley
79,MALAGA_1_PL1X2,8,0.0,PGE_valley
80,MALAGA_1_PL1X2,9,0.0,PGE_valley
81,MALAGA_1_PL1X2,10,0.0,PGE_valley
82,MALAGA_1_PL1X2,11,0.0,PGE_valley
83,MALAGA_1_PL1X2,12,0.0,PGE_valley
84,MALAGA_1_PL1X2,13,0.0,PGE_valley
85,MALAGA_1_PL1X2,14,0.0,PGE_valley
86,MALAGA_1_PL1X2,15,0.0,PGE_valley
87,MALAGA_1_PL1X2,16,0.0,PGE_valley
88,MALAGA_1_PL1X2,17,0.0,PGE_valley
89,MALAGA_1_PL1X2,18,0.0,PGE_valley
90,MALAGA_1_PL1X2,19,0.0,PGE_valley
91,MALAGA_1_PL1X2,20,0.0,PGE_valley
92,MALAGA_1_PL1X2,21,0.0,PGE_valley
93,MALAGA_1_PL1X2,22,0.0,PGE_valley
94,MALAGA_1_PL1X2,23,0.0,PGE_valley
95,MALAGA_1_PL1X2,24,0.0,PGE_valley
96,WOLFSK_1_UNITA1,1,0.0,PGE_valley
97,WOLFSK_1_UNITA1,2,0.0,PGE_valley
98,WOLFSK_1_UNITA1,3,0.0,PGE_valley
99,WOLFSK_1_UNITA1,4,0.0,PGE_valley
100,WOLFSK_1_UNITA1,5,0.0,PGE_valley
101,WOLFSK_1_UNITA1,6,0.0,PGE_valley
102,WOLFSK_1_UNITA1,7,0.0,PGE_valley
103,WOLFSK_1_UNITA1,8,0.0,PGE_valley
104,WOLFSK_1_UNITA1,9,0.0,PGE_valley
105,WOLFSK_1_UNITA1,10,0.0,PGE_valley
106,WOLFSK_1_UNITA1,11,0.0,PGE_valley
107,WOLFSK_1_UNITA1,12,0.0,PGE_valley
108,WOLFSK_1_UNITA1,13,0.0,PGE_valley
109,WOLFSK_1_UNITA1,14,0.0,PGE_valley
110,WOLFSK_1_UNITA1,15,0.0,PGE_valley
111,WOLFSK_1_UNITA1,16,0.0,PGE_valley
112,WOLFSK_1_UNITA1,17,0.0,PGE_valley
113,WOLFSK_1_UNITA1,18,0.0,PGE_valley
114,WOLFSK_1_UNITA1,19,0.0,PGE_valley
115,WOLFSK_1_UNITA1,20,0.0,PGE_valley
116,WOLFSK_1_UNITA1,21,0.0,PGE_valley
117,WOLFSK_1_UNITA1,22,0.0,PGE_valley
118,WOLFSK_1_UNITA1,23,0.0,PGE_valley
119,WOLFSK_1_UNITA1,24,0.0,PGE_valley
120,DALYCT_1_FCELL,1,0.0,PGE_valley
121,DALYCT_1_FCELL,2,0.0,PGE_valley
122,DALYCT_1_FCELL,3,0.0,PGE_valley
123,DALYCT_1_FCELL,4,0.0,PGE_valley
124,DALYCT_1_FCELL,5,0.0,PGE_valley
125,DALYCT_1_FCELL,6,0.0,PGE_valley
126,DALYCT_1_FCELL,7,0.0,PGE_valley
127,DALYCT_1_FCELL,8,0.0,PGE_valley
128,DALYCT_1_FCELL,9,0.0,PGE_valley
129,DALYCT_1_FCELL,10,0.0,PGE_valley
130,DALYCT_1_FCELL,11,0.0,PGE_valley
131,DALYCT_1_FCELL,12,0.0,PGE_valley
132,DALYCT_1_FCELL,13,0.0,PGE_valley
133,DALYCT_1_FCELL,14,0.0,PGE_valley
134,DALYCT_1_FCELL,15,0.0,PGE_valley
135,DALYCT_1_FCELL,16,0.0,PGE_valley
136,DALYCT_1_FCELL,17,0.0,PGE_valley
137,DALYCT_1_FCELL,18,0.0,PGE_valley
138,DALYCT_1_FCELL,19,0.0,PGE_valley
139,DALYCT_1_FCELL,20,0.0,PGE_valley
140,DALYCT_1_FCELL,21,0.0,PGE_valley
141,DALYCT_1_FCELL,22,0.0,PGE_valley
142,DALYCT_1_FCELL,23,0.0,PGE_valley
143,DALYCT_1_FCELL,24,0.0,PGE_valley
144,PNCHEG_2_PL1X4,1,0.0,PGE_valley
145,PNCHEG_2_PL1X4,2,0.0,PGE_valley
146,PNCHEG_2_PL1X4,3,0.0,PGE_valley
147,PNCHEG_2_PL1X4,4,0.0,PGE_valley
148,PNCHEG_2_PL1X4,5,0.0,PGE_valley
149,PNCHEG_2_PL1X4,6,0.0,PGE_valley
150,PNCHEG_2_PL1X4,7,0.0,PGE_valley
151,PNCHEG_2_PL1X4,8,0.0,PGE_valley
152,PNCHEG_2_PL1X4,9,0.0,PGE_valley
153,PNCHEG_2_PL1X4,10,0.0,PGE_valley
154,PNCHEG_2_PL1X4,11,0.0,PGE_valley
155,PNCHEG_2_PL1X4,12,0.0,PGE_valley
156,PNCHEG_2_PL1X4,13,0.0,PGE_valley
157,PNCHEG_2_PL1X4,14,0.0,PGE_valley
158,PNCHEG_2_PL1X4,15,0.0,PGE_valley
159,PNCHEG_2_PL1X4,16,0.0,PGE_valley
160,PNCHEG_2_PL1X4,17,0.0,PGE_valley
161,PNCHEG_2_PL1X4,18,0.0,PGE_valley
162,PNCHEG_2_PL1X4,19,0.0,PGE_valley
163,PNCHEG_2_PL1X4,20,0.0,PGE_valley
164,PNCHEG_2_PL1X4,21,0.0,PGE_valley
165,PNCHEG_2_PL1X4,22,0.0,PGE_valley
166,PNCHEG_2_PL1X4,23,0.0,PGE_valley
167,PNCHEG_2_PL1X4,24,0.0,PGE_valley
168,HENRTA_6_UNITA1,1,0.0,PGE_valley
169,HENRTA_6_UNITA1,2,0.0,PGE_valley
170,HENRTA_6_UNITA1,3,0.0,PGE_valley
171,HENRTA_6_UNITA1,4,0.0,PGE_valley
172,HENRTA_6_UNITA1,5,0.0,PGE_valley
173,HENRTA_6_UNITA1,6,0.0,PGE_valley
174,HENRTA_6_UNITA1,7,0.0,PGE_valley
175,HENRTA_6_UNITA1,8,0.0,PGE_valley
176,HENRTA_6_UNITA1,9,0.0,PGE_valley
177,HENRTA_6_UNITA1,10,0.0,PGE_valley
178,HENRTA_6_UNITA1,11,0.0,PGE_valley
179,HENRTA_6_UNITA1,12,0.0,PGE_valley
180,HENRTA_6_UNITA1,13,0.0,PGE_valley
181,HENRTA_6_UNITA1,14,0.0,PGE_valley
182,HENRTA_6_UNITA1,15,0.0,PGE_valley
183,HENRTA_6_UNITA1,16,0.0,PGE_valley
184,HENRTA_6_UNITA1,17,0.0,PGE_valley
185,HENRTA_6_UNITA1,18,0.0,PGE_valley
186,HENRTA_6_UNITA1,19,0.0,PGE_valley
187,HENRTA_6_UNITA1,20,0.0,PGE_valley
188,HENRTA_6_UNITA1,21,0.0,PGE_valley
189,HENRTA_6_UNITA1,22,0.0,PGE_valley
190,HENRTA_6_UNITA1,23,0.0,PGE_valley
191,HENRTA_6_UNITA1,24,0.0,PGE_valley
192,HENRTA_6_UNITA2,1,0.0,PGE_valley
193,HENRTA_6_UNITA2,2,0.0,PGE_valley
194,HENRTA_6_UNITA2,3,0.0,PGE_valley
195,HENRTA_6_UNITA2,4,0.0,PGE_valley
196,HENRTA_6_UNITA2,5,0.0,PGE_valley
197,HENRTA_6_UNITA2,6,0.0,PGE_valley
198,HENRTA_6_UNITA2,7,0.0,PGE_valley
199,HENRTA_6_UNITA2,8,0.0,PGE_valley
200,HENRTA_6_UNITA2,9,0.0,PGE_valley
201,HENRTA_6_UNITA2,10,0.0,PGE_valley
202,HENRTA_6_UNITA2,11,0.0,PGE_valley
