,Source,Sink,Time,Value
520,PGE_bay,PGE_bay,41,0.0
521,PGE_bay,PGE_bay,42,0.0
522,PGE_bay,PGE_bay,43,0.0
523,PGE_bay,PGE_bay,44,0.0
524,PGE_bay,PGE_bay,45,0.0
525,PGE_bay,PGE_bay,46,0.0
526,PGE_bay,PGE_bay,47,0.0
527,PGE_bay,PGE_bay,48,0.0
528,PGE_bay,SCE,25,0.0
529,PGE_bay,SCE,26,0.0
530,PGE_bay,SCE,27,0.0
531,PGE_bay,SCE,28,0.0
532,PGE_bay,SCE,29,0.0
533,PGE_bay,SCE,30,0.0
534,PGE_bay,SCE,31,0.0
535,PGE_bay,SCE,32,0.0
536,PGE_bay,SCE,33,0.0
537,PGE_bay,SCE,34,0.0
538,PGE_bay,SCE,35,0.0
539,PGE_bay,SCE,36,0.0
540,PGE_bay,SCE,37,0.0
541,PGE_bay,SCE,38,0.0
542,PGE_bay,SCE,39,0.0
543,PGE_bay,SCE,40,0.0
544,PGE_bay,SCE,41,0.0
545,PGE_bay,SCE,42,0.0
546,PGE_bay,SCE,43,0.0
547,PGE_bay,SCE,44,0.0
548,PGE_bay,SCE,45,0.0
549,PGE_bay,SCE,46,0.0
550,PGE_bay,SCE,47,0.0
551,PGE_bay,SCE,48,0.0
552,PGE_bay,SDGE,25,0.0
553,PGE_bay,SDGE,26,0.0
554,PGE_bay,SDGE,27,0.0
555,PGE_bay,SDGE,28,0.0
556,PGE_bay,SDGE,29,0.0
557,PGE_bay,SDGE,30,0.0
558,PGE_bay,SDGE,31,0.0
559,PGE_bay,SDGE,32,0.0
560,PGE_bay,SDGE,33,0.0
561,PGE_bay,SDGE,34,0.0
562,PGE_bay,SDGE,35,0.0
563,PGE_bay,SDGE,36,0.0
564,PGE_bay,SDGE,37,0.0
565,PGE_bay,SDGE,38,0.0
566,PGE_bay,SDGE,39,0.0
567,PGE_bay,SDGE,40,0.0
568,PGE_bay,SDGE,41,0.0
569,PGE_bay,SDGE,42,0.0
570,PGE_bay,SDGE,43,0.0
571,PGE_bay,SDGE,44,0.0
572,PGE_bay,SDGE,45,0.0
573,PGE_bay,SDGE,46,0.0
574,PGE_bay,SDGE,47,0.0
575,PGE_bay,SDGE,48,0.0
576,SCE,PGE_valley,25,0.0
577,SCE,PGE_valley,26,0.0
578,SCE,PGE_valley,27,0.0
579,SCE,PGE_valley,28,0.0
580,SCE,PGE_valley,29,0.0
581,SCE,PGE_valley,30,0.0
582,SCE,PGE_valley,31,0.0
583,SCE,PGE_valley,32,0.0
584,SCE,PGE_valley,33,583.3353837019154
585,SCE,PGE_valley,34,1785.8763226923202
586,SCE,PGE_valley,35,800.2925644060228
587,SCE,PGE_valley,36,0.0
588,SCE,PGE_valley,37,0.0
589,SCE,PGE_valley,38,1694.2728734143707
590,SCE,PGE_valley,39,470.7051954731403
591,SCE,PGE_valley,40,0.0
592,SCE,PGE_valley,41,0.0
593,SCE,PGE_valley,42,0.0
594,SCE,PGE_valley,43,0.0
595,SCE,PGE_valley,44,0.0
596,SCE,PGE_valley,45,0.0
597,SCE,PGE_valley,46,0.0
598,SCE,PGE_valley,47,0.0
599,SCE,PGE_valley,48,0.0
600,SCE,PGE_bay,25,0.0
601,SCE,PGE_bay,26,0.0
602,SCE,PGE_bay,27,0.0
603,SCE,PGE_bay,28,0.0
604,SCE,PGE_bay,29,0.0
605,SCE,PGE_bay,30,0.0
606,SCE,PGE_bay,31,0.0
607,SCE,PGE_bay,32,0.0
608,SCE,PGE_bay,33,0.0
609,SCE,PGE_bay,34,0.0
610,SCE,PGE_bay,35,0.0
611,SCE,PGE_bay,36,0.0
612,SCE,PGE_bay,37,0.0
613,SCE,PGE_bay,38,0.0
614,SCE,PGE_bay,39,0.0
615,SCE,PGE_bay,40,0.0
616,SCE,PGE_bay,41,0.0
617,SCE,PGE_bay,42,0.0
618,SCE,PGE_bay,43,0.0
619,SCE,PGE_bay,44,0.0
620,SCE,PGE_bay,45,0.0
621,SCE,PGE_bay,46,0.0
622,SCE,PGE_bay,47,0.0
623,SCE,PGE_bay,48,0.0
624,SCE,SCE,25,0.0
625,SCE,SCE,26,0.0
626,SCE,SCE,27,0.0
627,SCE,SCE,28,0.0
628,SCE,SCE,29,0.0
629,SCE,SCE,30,0.0
630,SCE,SCE,31,0.0
631,SCE,SCE,32,0.0
632,SCE,SCE,33,0.0
633,SCE,SCE,34,0.0
634,SCE,SCE,35,0.0
635,SCE,SCE,36,0.0
636,SCE,SCE,37,0.0
637,SCE,SCE,38,0.0
638,SCE,SCE,39,0.0
639,SCE,SCE,40,0.0
640,SCE,SCE,41,0.0
641,SCE,SCE,42,0.0
642,SCE,SCE,43,0.0
643,SCE,SCE,44,0.0
644,SCE,SCE,45,0.0
645,SCE,SCE,46,0.0
646,SCE,SCE,47,0.0
647,SCE,SCE,48,0.0
648,SCE,SDGE,25,0.0
649,SCE,SDGE,26,0.0
650,SCE,SDGE,27,0.0
651,SCE,SDGE,28,0.0
652,SCE,SDGE,29,0.0
653,SCE,SDGE,30,0.0
654,SCE,SDGE,31,0.0
655,SCE,SDGE,32,0.0
656,SCE,SDGE,33,0.0
657,SCE,SDGE,34,0.0
658,SCE,SDGE,35,0.0
659,SCE,SDGE,36,0.0
660,SCE,SDGE,37,0.0
661,SCE,SDGE,38,0.0
662,SCE,SDGE,39,0.0
663,SCE,SDGE,40,0.0
664,SCE,SDGE,41,0.0
665,SCE,SDGE,42,0.0
666,SCE,SDGE,43,0.0
667,SCE,SDGE,44,233.0489844814018
668,SCE,SDGE,45,0.0
669,SCE,SDGE,46,0.0
670,SCE,SDGE,47,291.74335207819854
671,SCE,SDGE,48,45.516166710850925
672,SDGE,PGE_valley,25,0.0
673,SDGE,PGE_valley,26,0.0
674,SDGE,PGE_valley,27,0.0
675,SDGE,PGE_valley,28,0.0
676,SDGE,PGE_valley,29,0.0
677,SDGE,PGE_valley,30,0.0
678,SDGE,PGE_valley,31,0.0
679,SDGE,PGE_valley,32,0.0
680,SDGE,PGE_valley,33,0.0
681,SDGE,PGE_valley,34,0.0
682,SDGE,PGE_valley,35,0.0
683,SDGE,PGE_valley,36,0.0
684,SDGE,PGE_valley,37,0.0
685,SDGE,PGE_valley,38,0.0
686,SDGE,PGE_valley,39,0.0
687,SDGE,PGE_valley,40,0.0
688,SDGE,PGE_valley,41,0.0
689,SDGE,PGE_valley,42,0.0
690,SDGE,PGE_valley,43,0.0
